created_at,text
2015-08-01 18:45:36 +0000,.@maddow I'm in! Would love to discuss on your show. #myfavoriteliberal http://t.co/HTviBCwDRu
2015-07-31 21:35:10 +0000,listen later tonight to @batchelorshow - talking national security and the future of America's role in the world....
2015-07-31 21:34:05 +0000,great to be on with @jerrydoyle  radio today. thanks for the opportunity...
2015-07-31 21:24:44 +0000,I want my...I want my.......@mtv - http://t.co/JYr038MEPY - good photos of past and present.
2015-07-31 21:12:09 +0000,NPR profile: http://t.co/d1aX44T4Fq
2015-07-31 21:08:43 +0000,.@abcnews brief bio/info to share  - http://t.co/5IlCs7bD4v - http://t.co/Iqihv7bxba
2015-07-31 20:55:44 +0000,. @teamcavuto - thanks for the time this afternoon. watch my take on the #hillaryemails  http://t.co/LDfUSFVGbc
2015-07-31 14:49:05 +0000,". @specialreport Gilmore on global hot spots,tax plan,state of the race
Reaction from 'Special Report' All-Star panel
http://t.co/uwluJVnTML"
2015-07-30 15:42:01 +0000,EXCLUSIVE - Former Virginia Governor Jim Gilmore: Why I'm Running for President - Breitbart http://t.co/jOfpEP0Rvl via @BreitbartNews
2015-07-29 20:01:09 +0000,Tom Brady was suspended 4 games for hiding evidence. Hillary should have to sit out first 4 primaries. #hillaryemails #DeflateGate
2015-07-28 18:58:03 +0000,On the radio tonight 6:45ET w/ @LarsLarsonShow - great #patriot is Mr. Larson.
2015-07-26 10:46:54 +0000,"It's hard to imagine a weaker national security team than Pres. Obama's. Even Pres. Carter's team wasn't this awful, &amp; that's saying a lot."
2015-07-25 12:14:44 +0000,Clinton economic plan is anti-growth and anti-business. It's exactly the opposite of what we need. http://t.co/y385sQSOOx
2015-07-24 19:49:01 +0000,.@teamcavuto lots of talk today about the economy/foreign policy..always a good policy discussion with Neil.  Tune in http://t.co/4JmW2XZgiY
2015-07-24 19:38:27 +0000,.@TeamCavuto    looking forward to the 4:30pmET appearance today.  TOPIC: #irandeal
2015-07-22 21:32:24 +0000,recent radio interview in NYC w/ Dr. Samadi on #politics &amp; #obamacare https://t.co/ixjOhldRUJ
2015-07-22 20:00:30 +0000,.@ksfo560 - enjoying my conservative radio away from home while in San Francisco today.
2015-07-20 14:53:35 +0000,Enjoyed another interview with Jimmy Barrett this morning. https://t.co/EmRjXNPUUo
2015-07-19 13:59:47 +0000,in the next 1/2 hour I'll be on World Health News with Dr. Samadi - AM 970 The Answer https://t.co/ApT4gHyPO7 via @sharethis
2015-07-18 01:13:02 +0000,Good conversation with #californiaconnection and Bob Lang And Maureen Ennor! http://t.co/PPOjeD0iwZ
2015-07-17 20:00:00 +0000,This Sunday at 10:20am ET I'll be on the radio in NYC - http://t.co/L0TWG32q2c -discussing Obamacare and other topics of the day...#drsamadi
2015-07-17 19:58:40 +0000,"7pm ET I'll be on LA Talk Radio w/ Bob Lang and Maureen Ennor on""California Connection"" 4:00 pm(pst) ""Get Connected"" http://t.co/cn20Ml4N5i"
2015-07-16 19:30:21 +0000,Great time this morning in NY and #CNN  https://t.co/g1IqUbNQd8
2015-07-16 19:28:43 +0000,"Time for a NATO for the Middle East to reign in terror and uncertainty in the world...
http://t.co/YD1WjTkQkV"
2015-07-16 14:18:42 +0000,"My take on Iran Deal: A NEW MIDDLE EAST NATO - American leadership w/ new NATO in Middle East, to check ambitions of Iran &amp; eliminate ISIS!"
2015-07-16 13:49:52 +0000,Looking forward to #CAVUTO this afternoon-should be on a little after Noon ET.  @teamcavuto talking about #IranDeal https://t.co/eg1e0hJNtF
2015-07-16 13:43:37 +0000,Great time on the show. Promoting my message of strong national defense by ending the sequester &amp; stronger economy! https://t.co/M7gHYLXW5c
2015-07-16 02:29:18 +0000,.@teamcavuto see you tomorrow at noon for Coast to Coast #foxbusiness
2015-07-16 01:29:46 +0000,.@newday on CNN looking forward to my 7am appearance tomorrow to discuss issues impacting working families and our military readiness.
2015-07-14 20:06:15 +0000,"http://t.co/Z1kQX1ses2
Recent Skype Interview @CBS6 - thanks for the chance to chat with my friends in #Richmond"
2015-07-14 19:35:13 +0000,5 Things You Should Know About Jim Gilmore http://t.co/H768UdYb5Y via @wabenews
2015-07-13 21:36:45 +0000,"#HillaryClinton wants a ""growth"" economy.ClintonObama economics caused slow growth &amp; wage stagnation. 8 more years of this?Don't be fooled."
2015-07-13 21:32:49 +0000,Obama-Clinton tax policy raised taxes on capital gains 75%.. #Hillarynomics..Less investment..Less growth..Low wages for working Americans.
2015-07-13 21:25:24 +0000,Obama-Clinton economic policy has caused low wages &amp; distress for middle class. Her speech is warmed over #Marxism #Hillary #timeforchange
2015-07-11 13:54:39 +0000,Just started speaking to the great people of @GOPHillsborough. #fitn #nhpolitics http://t.co/IJQLUJNWIK
2015-07-11 12:00:25 +0000,On my way to my first event today in #NH @ Merrimack Town Hall. Event starts @ 9:30am &amp; is a free public event so come on down. #fitn
2015-07-09 16:44:07 +0000,Looking forward to speaking @GOPHillsborough this Saturday at the Merrimack Town Hall. The public event starts at 9:30am. #fitn #nhpolitics
2015-07-02 14:32:03 +0000,Why are black churches in America falling victim to fire? http://t.co/DirthRTuy2
2015-06-20 12:26:45 +0000,"At Bike Week, Gilmore critiques Fox debate format | Concord Monitor http://t.co/1sXBCrdymR #fitn #nhpolitics"
